Fibre_GT,Fibre_Assess,Total_GTcontours,Total_Assess_contours,IoU_Score_Assess_GT,GT_proportion_membrane_included,GT_proportion_mito_mass_missed,Assess_proportion_membrane_included,Assess_proportion_mito_mass_missed
0,not_found,586,13,0,95.41603302194221,7.253463732681337,0,0
1,not_found,586,13,0,89.7420634920635,3.5150375939849625,0,0
2,not_found,586,13,0,99.82166018158236,31.3816604708798,0,0
3,not_found,586,13,0,74.34880338490018,8.465473145780052,0,0
4,not_found,586,13,0,94.75911458333334,36.220306916123604,0,0
5,3,586,13,0.9479171504202851,95.86466165413535,35.69105691056911,95.26968057252574,43.75414181577204
6,not_found,586,13,0,96.17864259758527,28.620102214650768,0,0
7,not_found,586,13,0,86.40758293838863,7.275985663082437,0,0
8,not_found,586,13,0,86.34217808888165,29.89996874023132,0,0
9,not_found,586,13,0,93.23503038756601,22.431357329969924,0,0
10,not_found,586,13,0,95.83333333333334,14.411285946825828,0,0
11,not_found,586,13,0,99.05791505791505,45.76854066985646,0,0
12,not_found,586,13,0,99.51438848920864,21.225607668606642,0,0
13,not_found,586,13,0,82.5962570032185,17.449355432780848,0,0
14,not_found,586,13,0,90.21207177814028,21.004210198035242,0,0
15,not_found,586,13,0,94.7385153393737,44.57116788321168,0,0
16,not_found,586,13,0,95.49278846153845,5.67069660333909,0,0
17,not_found,586,13,0,75.94745908699397,1.3784461152882206,0,0
18,not_found,586,13,0,86.42048838594401,50.55889939810834,0,0
19,not_found,586,13,0,87.88064269319051,60.89762393663831,0,0
20,not_found,586,13,0,87.09009869468322,57.375304136253035,0,0
21,1,586,13,0.9736186462383869,95.62776454576387,42.372606296656926,95.6773315180395,41.88991719434973
22,not_found,586,13,0,88.02283455922714,22.900276419306824,0,0
23,not_found,586,13,0,88.96022010776109,8.815365826579328,0,0
24,2,586,13,0.9565431895736546,98.9766081871345,28.336436995654875,91.91080729166666,32.36940298507462
25,not_found,586,13,0,52.46464646464647,13.13035204567079,0,0
26,not_found,586,13,0,97.9013172583166,59.14544306461798,0,0
27,not_found,586,13,0,97.61464807660003,57.2185643166854,0,0
